school_year,state_id,state_abbrev,eval_year,class_remove_year,suspension_year,PBIS,enroll,FRPL_percent,enroll_OTHER,enroll_AM,enroll_ASIAN,enroll_HISP,enroll_BLACK,enroll_WHITE,ODR_class,ODR_other,ODR_subjective,ODR_objective
2011,8,CO,2013,,2012,1,30070,0.467277377843857,458,235,1120,7646,1744,16959,0.729331493377686,0.922613203525543,0.519278407096863,0.391734391450882
2012,8,CO,2013,,2012,1,29424,0.461466431617737,583,233,1102,7214,1655,15368,0.653925538063049,0.815984845161438,0.382022678852081,0.372101902961731
2013,8,CO,2013,,2012,1,30495,0.476802468299866,0,220,1184,8912,1853,16771,0.705455780029297,0.900377511978149,0.433074593544006,0.376292258501053
2014,8,CO,2013,,2012,1,34509,0.474158406257629,0,232,1293,10464,1949,19085,0.7115318775177,0.845023453235626,0.475877285003662,0.342659592628479
2015,8,CO,2013,,2012,1,28882,0.493303567171097,0,202,1124,8269,1580,16399,0.779742658138275,0.950520157814026,0.464637726545334,0.435113668441772
2016,8,CO,2013,,2012,1,25692,0.497579872608185,0,171,1090,6891,1539,14754,0.821743547916412,0.911592662334442,0.475097000598908,0.425961434841156
2017,8,CO,2013,,2012,1,22379,0.461340636014938,0,145,1036,5659,1373,13007,0.666333198547363,0.873549818992615,0.365401715040207,0.387479305267334
2006,9,CT,2014,2018,2018,0,3706,0.598748207092285,0,14,109,1373,508,1327,1.49928402900696,1.28857362270355,0.882098853588104,0.505605399608612
2007,9,CT,2014,2018,2018,0,7261,0.532299757003784,0,26,171,2198,1741,2485,2.3305778503418,2.00823640823364,1.89872515201569,0.941105008125305
2008,9,CT,2014,2018,2018,0,9009,0.550572752952576,0,46,257,2616,1927,3298,2.44217395782471,1.76831448078156,1.36013090610504,0.652843832969666
2009,9,CT,2014,2018,2018,1,24349,0.645410656929016,3,121,897,8382,5593,8810,1.80397927761078,1.5797666311264,1.06431102752686,0.623904645442963
2010,9,CT,2014,2018,2018,0,39145,0.726037681102753,285,172,1191,12489,9121,13665,1.54823338985443,1.43166124820709,0.987059473991394,0.470733851194382
2011,9,CT,2014,2018,2018,1,35803,0.719907402992249,146,141,1112,9353,6504,10712,1.78363597393036,1.32280647754669,0.922377169132233,0.533879101276398
2012,9,CT,2014,2018,2018,1,34881,0.757281541824341,236,132,1195,10601,7022,10228,1.50796234607697,1.27678859233856,0.976074635982513,0.481394737958908
2013,9,CT,2014,2018,2018,1,36154,0.764753818511963,0,164,1359,13157,8075,12113,1.61328792572021,1.22716164588928,0.963704824447632,0.456125676631928
2014,9,CT,2014,2018,2018,1,34082,0.678767919540405,0,205,1287,12104,7199,12245,1.47493147850037,1.12634301185608,0.700820684432983,0.392998218536377
2015,9,CT,2014,2018,2018,1,38547,0.672816514968872,0,197,1780,14325,7756,13041,1.45674562454224,1.08108472824097,0.743625640869141,0.448075145483017
2016,9,CT,2014,2018,2018,1,30109,0.706194996833801,0,135,1014,12743,5959,9303,1.13751769065857,0.767711222171783,0.560052037239075,0.376936167478561
2017,9,CT,2014,2018,2018,0,28341,0.71959799528122,0,133,1343,12097,5978,7896,0.948671400547028,1.01173412799835,0.578903555870056,0.405721545219421
2006,12,FL,2011,,2009,,1749,0.559048414230347,0,2,24,267,282,751,1.21306526660919,1.02392292022705,0.82684987783432,0.509770572185516
2007,12,FL,2011,,2009,,1688,0.577898561954498,0,2,20,194,150,450,0.831551432609558,0.725017428398132,0.608814477920532,0.341530054807663
2008,12,FL,2011,,2009,,2451,0.599192023277283,0,1,39,261,438,1204,1.14733457565308,1.1039719581604,0.697393894195557,0.388602077960968
2009,12,FL,2011,,2009,,1808,0.616279065608978,94,9,37,215,465,998,0.825950503349304,1.33920860290527,0.562938332557678,0.429125130176544
2010,12,FL,2011,,2009,,2519,0.64661705493927,104,11,56,340,518,1438,0.998831510543823,0.959136724472046,0.607531547546387,0.465764403343201
2011,12,FL,2011,,2009,,2257,0.736699223518372,81,13,40,239,519,1290,1.20194816589355,1.0444530248642,0.870404243469238,0.536909103393555
2012,12,FL,2011,,2009,,2684,0.671763718128204,46,11,47,332,532,1281,1.23064517974854,0.960750341415405,0.796299695968628,0.413199722766876
2013,12,FL,2011,,2009,,,,,,,,,,,,,
2014,12,FL,2011,,2009,,,,,,,,,,,,,
2015,12,FL,2011,,2009,,,,,,,,,,,,,
2016,12,FL,2011,,2009,,,,,,,,,,,,,
2017,12,FL,2011,,2009,,,,,,,,,,,,,
2006,13,GA,2014,,2014,,4321,0.811501622200012,0,4,27,96,3064,1060,3.78949236869812,1.97352147102356,3.09282922744751,0.634540259838104
2007,13,GA,2014,,2014,,5014,0.698548257350922,0,5,33,103,2441,1672,3.06861352920532,2.000492811203,2.12488126754761,0.682573616504669
2008,13,GA,2014,,2014,,6713,0.687338531017304,0,9,56,292,2975,3180,2.05346751213074,1.78410112857819,1.18558704853058,0.499273777008057
2009,13,GA,2014,,2014,1,13725,0.728988111019135,62,25,91,570,5452,7177,1.3958785533905,1.20727396011353,1.05323362350464,0.53908908367157
2010,13,GA,2014,,2014,1,32554,0.736842095851898,613,82,875,4927,12361,13253,1.00704562664032,1.05476939678192,0.735775053501129,0.367796242237091
2011,13,GA,2014,,2014,1,27431,0.71573007106781,572,71,767,4711,9016,12250,0.956217288970947,0.866874694824219,0.644520699977875,0.321039617061615
2012,13,GA,2014,,2014,1,23872,0.730649769306183,414,69,630,4050,7881,8888,1.05517625808716,0.973523378372192,0.76106870174408,0.464508205652237
2013,13,GA,2014,,2014,1,24008,0.771853446960449,69,49,802,5250,8796,8391,1.10150074958801,0.717606902122498,0.626818895339966,0.334516137838364
2014,13,GA,2014,,2014,1,24638,0.722227394580841,0,134,749,4958,8324,9606,0.753504395484924,0.683358669281006,0.57019168138504,0.259910821914673
2015,13,GA,2014,,2014,1,32840,0.761592507362366,0,44,940,5620,12747,12350,0.764526009559631,0.680718183517456,0.538906455039978,0.308170139789581
2016,13,GA,2014,,2014,1,30265,0.766114175319672,0,38,932,5512,11367,11363,0.804597675800324,0.787804365158081,0.551724195480347,0.27871161699295
2017,13,GA,2014,,2014,1,28648,0.760879755020142,0,48,949,5540,11203,9975,0.895970821380615,0.791808903217316,0.525779247283936,0.34542316198349
2006,16,ID,2014,,2016,,,,,,,,,,,,,
2007,16,ID,2014,,2016,,,,,,,,,,,,,
2008,16,ID,2014,,2016,,,,,,,,,,,,,
2009,16,ID,2014,,2016,1,778,0.452398151159287,0,4,7,104,15,618,1.8030036687851,3.23610401153564,1.22055220603943,1.42674374580383
2010,16,ID,2014,,2016,1,3277,0.478775918483734,17,39,32,281,32,2846,3.01272392272949,2.18317151069641,2.26130080223084,1.08331608772278
2011,16,ID,2014,,2016,1,3208,0.575667679309845,0,21,29,267,33,2525,1.51722037792206,1.70951116085053,1.06837606430054,0.840751767158508
2012,16,ID,2014,,2016,1,3105,0.519862651824951,25,15,38,294,19,2456,2.41712713241577,1.70616590976715,1.57884013652802,0.993141412734985
2013,16,ID,2014,,2016,0,2860,0.476859867572784,0,25,45,346,29,2340,2.48526906967163,1.12437629699707,1.64590573310852,0.442718058824539
2014,16,ID,2014,,2016,0,3158,0.498772710561752,0,33,35,353,41,2544,1.86238408088684,1.17585122585297,1.03545105457306,0.498558044433594
2015,16,ID,2014,,2016,,3183,0.492557495832443,0,32,32,355,35,2614,2.18520283699036,1.09717297554016,0.960026323795319,0.477948874235153
2016,16,ID,2014,,2016,,2809,0.449623644351959,0,30,32,342,35,2246,0.833876073360443,0.903788328170776,0.429074645042419,0.485017418861389
2017,16,ID,2014,,2016,,2534,0.501377403736115,0,30,31,323,33,1995,2.18324255943298,1.03335809707642,0.89953339099884,0.607097864151001
2006,17,IL,2016,,,1,24444,0.57507985830307,0,39,808,3274,7587,9231,1.95822441577911,1.9097934961319,1.19949495792389,0.816599786281586
2007,17,IL,2016,,,1,36659,0.597183108329773,0,51,1170,4895,12940,15064,2.4038462638855,1.83566439151764,1.50765073299408,0.796568632125855
2008,17,IL,2016,,,0,60347,0.525080025196075,0,118,2319,7554,18558,25397,2.04554486274719,1.6328239440918,1.25862240791321,0.582687556743622
2009,17,IL,2016,,,1,95400,0.520868122577667,3330,231,3638,15340,21487,44554,1.67757618427277,1.49085867404938,0.897112429141998,0.558659195899963
2010,17,IL,2016,,,1,118176,0.496925503015518,2761,333,4586,19014,24145,58266,1.43070781230927,1.44416761398315,0.843085050582886,0.546135425567627
2011,17,IL,2016,,,1,135469,0.511744976043701,2835,375,5073,22451,26945,65801,1.54773545265198,1.53564190864563,0.892275631427765,0.57428514957428
2012,17,IL,2016,,,1,145514,0.505767524242401,2887,388,5938,24783,28185,71335,1.43678164482117,1.27732801437378,0.915942549705505,0.496316224336624
2013,17,IL,2016,,,1,138799,0.505324304103851,169,462,5957,24324,28092,73162,1.4832535982132,1.26262629032135,0.834884405136108,0.453250467777252
2014,17,IL,2016,,,1,134722,0.558213710784912,0,452,6151,24763,26854,70794,1.45580589771271,1.33837187290192,0.846254229545593,0.511513411998749
